NUM_GENES	H2GE	EQTL_H2	CORRELATION	NUM_GWAS	LASSO_POWER	PRSCSx_POWER	MAGEPRO_POWER	METRO_POWER
1101	0	0.01	0.2	20000	0.0	0.0	0.0	0.0
1101	0	0.01	0.2	100000	0.0	0.0	0.0	0.0
1103	0	0.01	0.2	600000	0.0	0.0	0.0	0.0
1090	0	0.01	0.8	20000	0.0009174311926605505	0.0009174311926605505	0.0	0.0
1092	0	0.01	0.8	100000	0.0	0.0	0.0	0.0
1091	0	0.01	0.8	600000	0.0	0.0	0.0	0.0
965	0	0.05	0.2	20000	0.0	0.0	0.0	0.0
966	0	0.05	0.2	100000	0.0	0.0	0.0	0.0
965	0	0.05	0.2	600000	0.0	0.0	0.0	0.0
959	0	0.05	0.8	20000	0.0	0.0	0.0	0.0
961	0	0.05	0.8	100000	0.0	0.0	0.0	0.0
958	0	0.05	0.8	600000	0.0	0.0	0.0	0.0
677	0	0.1	0.2	20000	0.0	0.0	0.0	0.0
680	0	0.1	0.2	100000	0.0	0.0	0.0	0.0
682	0	0.1	0.2	600000	0.0	0.0	0.0	0.0
667	0	0.1	0.8	20000	0.0	0.0	0.0	0.0
666	0	0.1	0.8	100000	0.0	0.0	0.0	0.0015015015015015015
665	0	0.1	0.8	600000	0.0	0.0	0.0	0.0015037593984962407
1086	0.0001	0.01	0.2	20000	0.0	0.0	0.0	0.0
1086	0.0001	0.01	0.2	100000	0.0009208103130755065	0.001841620626151013	0.0009208103130755065	0.0
1084	0.0001	0.01	0.2	600000	0.03782287822878229	0.03505535055350553	0.03505535055350553	0.3348708487084871
1082	0.0001	0.01	0.8	20000	0.0	0.0009242144177449168	0.0	0.0
1083	0.0001	0.01	0.8	100000	0.0009233610341643582	0.0	0.0009233610341643582	0.002770083102493075
1084	0.0001	0.01	0.8	600000	0.03782287822878229	0.033210332103321034	0.04059040590405904	0.37546125461254615
961	0.0001	0.05	0.2	20000	0.0	0.001040582726326743	0.001040582726326743	0.0
957	0.0001	0.05	0.2	100000	0.011494252873563218	0.011494252873563218	0.0219435736677116	0.0
959	0.0001	0.05	0.2	600000	0.3931178310740355	0.3962460896767466	0.4337851929092805	0.4608967674661105
959	0.0001	0.05	0.8	20000	0.0	0.0	0.0	0.0
960	0.0001	0.05	0.8	100000	0.013541666666666667	0.010416666666666666	0.01875	0.0010416666666666667
953	0.0001	0.05	0.8	600000	0.3651626442812172	0.3567681007345226	0.43651626442812175	0.565582371458552
680	0.0001	0.1	0.2	20000	0.0	0.0	0.0	0.0
680	0.0001	0.1	0.2	100000	0.05	0.045588235294117645	0.052941176470588235	0.0058823529411764705
681	0.0001	0.1	0.2	600000	0.7547723935389133	0.7474302496328928	0.8208516886930984	0.6123348017621145
633	0.0001	0.1	0.8	20000	0.0	0.0	0.0	0.0
632	0.0001	0.1	0.8	100000	0.05063291139240506	0.04746835443037975	0.06962025316455696	0.0031645569620253164
626	0.0001	0.1	0.8	600000	0.7875399361022364	0.7523961661341853	0.8354632587859425	0.7060702875399361
1074	0.001	0.01	0.2	20000	0.006517690875232775	0.0037243947858473	0.00558659217877095	0.00931098696461825
1075	0.001	0.01	0.2	100000	0.07069767441860465	0.06511627906976744	0.07348837209302325	0.8037209302325582
1071	0.001	0.01	0.2	600000	0.3295985060690943	0.33800186741363214	0.35947712418300654	1.0
1078	0.001	0.01	0.8	20000	0.0074211502782931356	0.00927643784786642	0.01020408163265306	0.006493506493506494
1079	0.001	0.01	0.8	100000	0.07877664504170528	0.07692307692307693	0.08989805375347544	0.8127896200185357
1079	0.001	0.01	0.8	600000	0.34754402224281744	0.3540315106580167	0.3707136237256719	1.0
949	0.001	0.05	0.2	20000	0.09378292939936776	0.0958904109589041	0.11064278187565858	0.01791359325605901
954	0.001	0.05	0.2	100000	0.5052410901467506	0.5083857442348009	0.5461215932914046	0.8836477987421384
953	0.001	0.05	0.2	600000	0.8352570828961176	0.8688352570828961	0.8845750262329486	1.0
928	0.001	0.05	0.8	20000	0.09698275862068965	0.08189655172413793	0.11961206896551724	0.03556034482758621
925	0.001	0.05	0.8	100000	0.49945945945945946	0.5145945945945946	0.5654054054054054	0.9156756756756756
926	0.001	0.05	0.8	600000	0.8326133909287257	0.8768898488120951	0.9017278617710583	0.9989200863930886
690	0.001	0.1	0.2	20000	0.2	0.2217391304347826	0.27391304347826084	0.04057971014492753
689	0.001	0.1	0.2	100000	0.8911465892597968	0.8795355587808418	0.9056603773584906	0.9288824383164006
689	0.001	0.1	0.2	600000	0.988388969521045	0.9869375907111756	0.9927431059506531	1.0
692	0.001	0.1	0.8	20000	0.24710982658959538	0.24132947976878613	0.3078034682080925	0.05346820809248555
687	0.001	0.1	0.8	100000	0.8733624454148472	0.858806404657933	0.893740902474527	0.9548762736535662
695	0.001	0.1	0.8	600000	0.9798561151079137	0.9856115107913669	0.9870503597122302	0.9971223021582734
1064	0.01	0.01	0.2	20000	0.16541353383458646	0.15789473684210525	0.17011278195488722	0.9953007518796992
1062	0.01	0.01	0.2	100000	0.4416195856873823	0.4519774011299435	0.4548022598870056	0.9971751412429378
1062	0.01	0.01	0.2	600000	0.724105461393597	0.7457627118644068	0.751412429378531	1.0
1056	0.01	0.01	0.8	20000	0.1590909090909091	0.1581439393939394	0.17424242424242425	0.9943181818181818
1059	0.01	0.01	0.8	100000	0.4447592067988669	0.46081208687440983	0.4825306893295562	0.9990557129367328
1055	0.01	0.01	0.8	600000	0.7213270142180095	0.7308056872037915	0.7507109004739336	1.0
947	0.01	0.05	0.2	20000	0.6673706441393875	0.6768743400211193	0.7106652587117213	0.9989440337909187
945	0.01	0.05	0.2	100000	0.8931216931216931	0.9206349206349206	0.9386243386243386	1.0
942	0.01	0.05	0.2	600000	0.9554140127388535	0.9766454352441614	0.9851380042462845	1.0
933	0.01	0.05	0.8	20000	0.7031082529474812	0.6988210075026795	0.752411575562701	1.0
935	0.01	0.05	0.8	100000	0.9112299465240642	0.9262032085561497	0.9561497326203209	0.9989304812834224
936	0.01	0.05	0.8	600000	0.9626068376068376	0.9786324786324786	0.9893162393162394	0.9989316239316239
672	0.01	0.1	0.2	20000	0.9583333333333334	0.9508928571428571	0.9613095238095238	0.9925595238095238
669	0.01	0.1	0.2	100000	0.9955156950672646	0.9985052316890882	0.9955156950672646	1.0
673	0.01	0.1	0.2	600000	0.9955423476968797	1.0	0.9985141158989599	1.0
646	0.01	0.1	0.8	20000	0.9504643962848297	0.9473684210526315	0.9643962848297214	0.9891640866873065
647	0.01	0.1	0.8	100000	0.9845440494590417	0.9922720247295209	0.9953632148377125	1.0
645	0.01	0.1	0.8	600000	0.9922480620155039	1.0	1.0	0.9953488372093023
