NUM_GENES	H2GE	EQTL_H2	CORRELATION	NUM_GWAS	LASSO_POWER	PRSCSx_POWER	MAGEPRO_POWER	METRO_POWER	LASSO_ACCURACY	PRSCSx_ACCURACY	MAGEPRO_ACCURACY	METRO_ACCURACY	LASSO_SEM	PRSCSx_SEM	MAGEPRO_SEM	METRO_SEM	LASSO_R2	PRSCSx_R2	MAGEPRO_R2	METRO_R2	LASSO_R2_SEM	PRSCSx_R2_SEM	MAGEPRO_R2_SEM	METRO_R2_SEM
1057	0.001	0.01	0.2	20000	0.00946073793755913	0.00946073793755913	0.007568590350047304	0.00946073793755913	0.4322944326562259	0.4328050541193908	0.4356914079934602	0.44980548000357584	0.016045925711516446	0.01590421391746339	0.01613908908224017	0.016423965153802383	0.017828273844859892	0.01745639888089928	0.018212543414174213	0.01772739080601098	0.0007557483916998159	0.0007389860075098933	0.000768243314532954	0.0007006524327340163
1056	0.001	0.01	0.2	100000	0.08428030303030302	0.08049242424242424	0.08712121212121213	0.8210227272727273	0.4313354705492264	0.4318469545486466	0.43473818402047615	0.4624986413272991	0.01604432361655269	0.015902167953817575	0.0161381517336119	0.016809516535158088	0.017780762467111796	0.017411284026856797	0.01816539592806372	0.020708715028597564	0.0007549680660345415	0.0007383064214981652	0.000767521693014261	0.0008594149955359103
1056	0.001	0.01	0.2	600000	0.34375	0.3475378787878788	0.35700757575757575	0.9554924242424242	0.4313354705492264	0.4318469545486466	0.43473818402047615	0.5036748576246086	0.01604432361655269	0.015902167953817575	0.0161381517336119	0.016685048094783193	0.017780762467111796	0.017411284026856797	0.01816539592806372	0.02353753024816868	0.0007549680660345415	0.0007383064214981652	0.000767521693014261	0.0009160049236080127
1054	0.001	0.01	0.8	20000	0.008538899430740038	0.006641366223908918	0.009487666034155597	0.011385199240986717	0.44365651354597485	0.44303839680154916	0.4436744460803814	0.46204441742597274	0.016456926270238145	0.016421113692115272	0.016443406449532044	0.017045842710077315	0.018076476148819784	0.017736790888638665	0.01828960826218421	0.018650905207629964	0.00073924777120682	0.0007388880195026764	0.0007464974335481318	0.0007499997523136628
1054	0.001	0.01	0.8	100000	0.08633776091081594	0.08159392789373814	0.1015180265654649	0.8292220113851992	0.44365651354597485	0.44303839680154916	0.4436744460803814	0.48369227485993616	0.016456926270238145	0.016421113692115272	0.016443406449532044	0.016818297019136577	0.018076476148819784	0.017736790888638665	0.01828960826218421	0.0217803377362595	0.00073924777120682	0.0007388880195026764	0.0007464974335481318	0.0009386290162430873
1054	0.001	0.01	0.8	600000	0.3444022770398482	0.372865275142315	0.37855787476280833	0.9620493358633776	0.44365651354597485	0.44303839680154916	0.4436744460803814	0.5050645073283944	0.016456926270238145	0.016421113692115272	0.016443406449532044	0.017221590578318843	0.018076476148819784	0.017736790888638665	0.01828960826218421	0.023989886322233756	0.00073924777120682	0.0007388880195026764	0.0007464974335481318	0.0009966913960372309
1051	0.001	0.05	0.2	20000	0.09800190294957184	0.0922930542340628	0.10941960038058991	0.017126546146527116	0.4176011259529637	0.41336994730862375	0.4286949570800345	0.4177889836624402	0.013077813130246547	0.012958449351483952	0.013159163927584275	0.013109138704162596	0.029816690272432892	0.02965434367084579	0.030915677884888238	0.02857512972922932	0.0011398215402200274	0.0011430728792596575	0.0011663984065374256	0.0011385007681668608
1051	0.001	0.05	0.2	100000	0.527117031398668	0.5204567078972407	0.5594671741198858	0.7783063748810657	0.4176011259529637	0.41336994730862375	0.4286949570800345	0.5246410928158693	0.013077813130246547	0.012958449351483952	0.013159163927584275	0.013571809390734883	0.029816690272432892	0.02965434367084579	0.030915677884888238	0.04049866772440523	0.0011398215402200274	0.0011430728792596575	0.0011663984065374256	0.0013506101142664434
1050	0.001	0.05	0.2	600000	0.8771428571428571	0.8942857142857142	0.9161904761904762	0.8752380952380953	0.4176011259529637	0.41336994730862375	0.4286949570800345	0.6092026771052197	0.013077813130246547	0.012958449351483952	0.013159163927584275	0.013146402795153389	0.02973817206395903	0.029577942693009025	0.030837186271072663	0.05267007894643238	0.001138197387492451	0.0011416034920900533	0.0011648632683070534	0.0015645270591742074
1050	0.001	0.05	0.8	20000	0.08952380952380952	0.08190476190476191	0.10952380952380952	0.02	0.4348766403290817	0.43560879887400294	0.45497638388697326	0.4779418462884634	0.013059448278414291	0.013177773342917542	0.013245723880539283	0.013182871469994422	0.02838338431353557	0.029013679914753076	0.030404224626605917	0.03145234813188928	0.0010979880860519141	0.0011453778681728456	0.001146830927760458	0.0011416497485339362
1050	0.001	0.05	0.8	100000	0.5228571428571429	0.5133333333333333	0.5666666666666667	0.8152380952380952	0.4348766403290817	0.43560879887400294	0.45497638388697326	0.5586927430968575	0.013059448278414291	0.013177773342917542	0.013245723880539283	0.013353006153673571	0.02838338431353557	0.029013679914753076	0.030404224626605917	0.04224470030982904	0.0010979880860519141	0.0011453778681728456	0.001146830927760458	0.0013841970486213513
1049	0.001	0.05	0.8	600000	0.8751191611058151	0.892278360343184	0.9180171591992373	0.8856053384175405	0.4352338527932124	0.4360384733097472	0.4543721448447194	0.6165843075705725	0.013069042922354617	0.013185376338210106	0.01324661240628167	0.013259040410588632	0.028410069064041366	0.029041179366176922	0.030419883783630815	0.05326222326954263	0.0010987106640704316	0.0011461397845174723	0.0011478176962352027	0.001652543589136903
1047	0.001	0.1	0.2	20000	0.2282712511938873	0.2349570200573066	0.28557784145176696	0.017191977077363897	0.5661870167280292	0.5692445269082401	0.5871929062179788	0.41408983257482734	0.01179572407941476	0.011668774443792527	0.011685239893299202	0.011725536789153636	0.06970299955565196	0.06983881849905292	0.07388402913476351	0.04206404087841814	0.0018433595347868007	0.0018521059805367696	0.0019108080519603765	0.0014102488034087796
1047	0.001	0.1	0.2	100000	0.8882521489971347	0.8834765998089781	0.9025787965616046	0.6303724928366762	0.5661870167280292	0.5692445269082401	0.5871929062179788	0.5451359246841866	0.01179572407941476	0.011668774443792527	0.011685239893299202	0.011894686095665519	0.06970299955565196	0.06983881849905292	0.07388402913476351	0.061889008753850464	0.0018433595347868007	0.0018521059805367696	0.0019108080519603765	0.0017112733394432282
