NUM_GENES	H2GE	EQTL_H2	CORRELATION	NUM_GWAS	LASSO_POWER	PRSCSx_POWER	MAGEPRO_POWER	METRO_POWER	LASSO_ACCURACY	PRSCSx_ACCURACY	MAGEPRO_ACCURACY	METRO_ACCURACY	LASSO_SEM	PRSCSx_SEM	MAGEPRO_SEM	METRO_SEM	LASSO_R2	PRSCSx_R2	MAGEPRO_R2	METRO_R2	LASSO_R2_SEM	PRSCSx_R2_SEM	MAGEPRO_R2_SEM	METRO_R2_SEM
970	0	0.01	0.2	20000	0.0	0.0	0.0	0.0	0.46937868699285723	0.4720361252731307	0.47469462169681115	0.4614454720771491	0.017867423905092404	0.017987107577122352	0.018021214403937412	0.017281518542766362	0.018291663968080386	0.01809404285531638	0.01829456499241762	0.016747516015760612	0.0007750506743861327	0.0007704957758694549	0.0007731116999324274	0.0007360108114949278
971	0	0.01	0.2	100000	0.0	0.0	0.0	0.0	0.46868699287179244	0.4713523432220317	0.4739938216689269	0.43977395959897425	0.017846105793326707	0.01796516479878544	0.0179998352547894	0.017145705670800104	0.01828339917532076	0.01808661062974665	0.018286355741324527	0.01687298226003577	0.0007742961747320296	0.0007697377412251356	0.0007723587164759956	0.0007657502376637789
968	0	0.01	0.2	600000	0.0	0.0	0.0	0.0	0.47070964864208653	0.47344539091090776	0.47604192161156944	0.446106230296998	0.017911771356980775	0.01802878415856375	0.018065775087061545	0.017630868603384194	0.01829647267491015	0.018102107033234956	0.01829908493731762	0.017484976590457738	0.0007766001629870859	0.0007719854494664116	0.000774658336948049	0.00075286070931323
969	0	0.01	0.8	20000	0.0010319917440660474	0.0010319917440660474	0.0010319917440660474	0.0	0.42395270582192435	0.4221637267213934	0.429291165060579	0.449823710721392	0.017577197385572094	0.017723462263289455	0.01763731839658561	0.01733649253290784	0.01621196067801942	0.016101121253441743	0.01622119159317279	0.018566128537023233	0.0007561498397579388	0.000763025136772371	0.0007419977945693276	0.0007849737981326
969	0	0.01	0.8	100000	0.0	0.0	0.0	0.0	0.42395270582192435	0.4221637267213934	0.429291165060579	0.43946411756257	0.017577197385572094	0.017723462263289455	0.01763731839658561	0.017801276570595787	0.01621196067801942	0.016101121253441743	0.01622119159317279	0.017957424174841072	0.0007561498397579388	0.000763025136772371	0.0007419977945693276	0.0008006014954077283
967	0	0.01	0.8	600000	0.0	0.0	0.0	0.0	0.42458854051174055	0.42277693075840816	0.42995162072130855	0.4633608663567744	0.01763841321674146	0.01778587867708181	0.01769830534194608	0.017670941847521573	0.016202879199127013	0.016091158688594686	0.016212294963981456	0.018517026523249352	0.0007576379881051803	0.0007645303870038597	0.0007434549318917173	0.0008138957975576921
867	0	0.05	0.2	20000	0.0	0.0	0.0	0.0	0.48587360486042847	0.4795326762385127	0.49483344816403646	0.40643084696536486	0.014938617295895375	0.015028874178060272	0.015095260534484057	0.014505894513683892	0.030317341825150838	0.02986497533045799	0.031075862262203355	0.021304761211905214	0.0012701482579594789	0.0012712126847120157	0.0012828006216916734	0.000981160534207865
869	0	0.05	0.2	100000	0.0	0.0	0.0	0.0	0.4852758902504714	0.47896657882646276	0.49414779363337114	0.41847553160507506	0.014942597229141642	0.015028575462267662	0.01509917718739046	0.014508911910226376	0.030276152199347397	0.029823443513957992	0.031027183347384378	0.023145085266062165	0.0012691201402458161	0.0012698733918885432	0.001281598673333991	0.0010173515184595174
869	0	0.05	0.2	600000	0.0	0.0	0.0	0.0	0.48422659001875484	0.4779363949477958	0.49319402267119056	0.37515243077904126	0.014929646020865942	0.0150153369953427	0.015086309097097142	0.014085667014211115	0.030235290092208163	0.02978489058009273	0.030996067913074053	0.01946650614892522	0.0012680038615270933	0.0012688819441678187	0.0012806877584882605	0.0008690521428194388
898	0	0.05	0.8	20000	0.0	0.0	0.0	0.0	0.478784310075926	0.4708194266521092	0.4904621046776621	0.40201897345103893	0.01503264395712912	0.015038612669442333	0.015288221180530895	0.014384552716135224	0.031791662916369215	0.03146369315293332	0.033144015727477584	0.023453604055031593	0.0013377440372908337	0.0013288095981515754	0.0013756525033126066	0.001038433695623135
