NUM_GENES	H2GE	EQTL_H2	CORRELATION	NUM_GWAS	LASSO_POWER	PRSCSx_POWER	MAGEPRO_POWER	METRO_POWER	LASSO_ACCURACY	PRSCSx_ACCURACY	MAGEPRO_ACCURACY	METRO_ACCURACY	LASSO_SEM	PRSCSx_SEM	MAGEPRO_SEM	METRO_SEM	LASSO_R2	PRSCSx_R2	MAGEPRO_R2	METRO_R2	LASSO_R2_SEM	PRSCSx_R2_SEM	MAGEPRO_R2_SEM	METRO_R2_SEM
0	0	0.01	0.2	20000																				
0	0	0.01	0.2	100000																				
0	0	0.01	0.2	600000																				
987	0	0.01	0.8	20000	0.0	0.0	0.0	0.0	0.28521124095445244	0.27895431801963677	0.2735757422984068	0.3029120563170341	0.014388534936791866	0.014126706451163986	0.014190113935752775	0.015345753067825317	0.007050610960995322	0.00682012416808974	0.006928024610135772	0.007850934753032942	0.0003097914877700402	0.0003022828988198524	0.00030909777035832844	0.00035031491729430644
987	0	0.01	0.8	100000	0.0	0.0	0.0	0.0	0.28520767411808035	0.2789718800169293	0.27357744871796036	0.2868494994516606	0.014388660771345006	0.014126080550900018	0.014190055394294814	0.014740649352912452	0.0070507177438700235	0.006820972682596973	0.0069283336657131435	0.0072942015453548725	0.0003097892616318718	0.0003022648107441722	0.000309091430955084	0.00031761885470033604
988	0	0.01	0.8	600000	0.0	0.0	0.0	0.0	0.28470370446754595	0.2784614893995289	0.273091568380725	0.267985924685553	0.0143710746996335	0.014109371738562786	0.01417232601086456	0.01448109451322665	0.0070442191227590755	0.006814117793462361	0.006921851768647886	0.007902349043224831	0.0003095437750712462	0.00030203651752532245	0.0003088464536055906	0.0003800200867240783
0	0	0.05	0.2	20000																				
0	0	0.05	0.2	100000																				
0	0	0.05	0.2	600000																				
960	0	0.05	0.8	20000	0.0	0.0	0.0	0.0	0.3890073278103264	0.3876099330521505	0.4217844437616892	0.32350334849402496	0.013039359553188225	0.0130020060791372	0.013316398021871451	0.012252187981267605	0.02009248380499064	0.01976292664571329	0.02282575529928723	0.014296665905606819	0.000781909164628706	0.0007606103371715406	0.0008478732101659136	0.0005685880921798229
962	0	0.05	0.8	100000	0.0010395010395010396	0.0010395010395010396	0.0010395010395010396	0.0	0.3884887304413591	0.3869806920485693	0.4212255630439408	0.32595568827593024	0.013013036045246788	0.012977445505997299	0.013290284544297279	0.01189195349435873	0.020081699647468896	0.019745566626439035	0.02281210801403208	0.01483732740379877	0.0007803705958977204	0.0007591332087928784	0.0008462220827340906	0.0005890205269312148
961	0	0.05	0.8	600000	0.0	0.0	0.0	0.0	0.3888723455271357	0.3873490038860875	0.421663121936656	0.3127690845052358	0.013023589045830428	0.012988382702617624	0.013299631799272545	0.012079820325973599	0.020098930382123147	0.019761956318281707	0.022832662099622453	0.014324283615561713	0.0007809926087421582	0.0007597464294908438	0.0008468531871995384	0.00058808494998411
0	0	0.1	0.2	20000																				
0	0	0.1	0.2	100000																				
0	0	0.1	0.2	600000																				
816	0	0.1	0.8	20000	0.0	0.0	0.0	0.0	0.6379923378732458	0.6182862520668312	0.6768198157660019	0.3571905061509881	0.01207277820390663	0.01218778470561883	0.011804962524393833	0.011727244541742765	0.0620775144146184	0.05909597499077596	0.0677591788443186	0.029242067978763452	0.0014855419011493127	0.0014875074979705035	0.001549484682224779	0.0010412911751024583
817	0	0.1	0.8	100000	0.0	0.0	0.0	0.0	0.6380243374725573	0.6184828633351565	0.6769813240476247	0.3518756537272027	0.012057670041515742	0.0121782421331212	0.011781930380736647	0.011655539095965551	0.062029975474401165	0.05909496271075445	0.06773572207680398	0.02890771892518243	0.001481409402988894	0.0014851700753153354	0.001546090944306981	0.0010463321231594406
819	0	0.1	0.8	600000	0.0	0.0	0.0	0.0	0.6367870908228526	0.6167965907901383	0.6755566718490361	0.3623062820666238	0.012053148434893503	0.012180143315883346	0.011784214935252122	0.011592692929689497	0.061983761567921604	0.05898005958811493	0.06766376494365378	0.029650721248931217	0.0014801964429928237	0.0014833097943296153	0.0015445634823477933	0.0010497031674019102
0	0.0001	0.01	0.2	20000																				
0	0.0001	0.01	0.2	100000																				
0	0.0001	0.01	0.2	600000																				
